pmid,title,category,combined_text
41710374,Clinicopathologic Features of Genitourinary Malakoplakia and Analytical Utility of the MetaPath Assay.,malakoplakia,"Clinicopathologic Features of Genitourinary Malakoplakia and Analytical Utility of the MetaPath Assay. To describe the clinicopathological spectrum of genitourinary malakoplakia (MPL) and to evaluate the feasibility and clinical impact of metagenomic pathogen detection (MetaPath) performed on archival formalin-fixed paraffin-embedded (FFPE) tissue. Clinical imaging, histopathology, immunohistochemistry, special stains and MetaPath results were retrospectively analysed in five MPL cases diagnosed between January 2019 and August 2025. The cohort comprised four men and one woman with a median age of 65.4 years. Four lesions arose in the prostate and one in the bladder. Histology showed chronic granulomatous inflammation with numerous eosinophilic histiocytes containing 5-10 µm targetoid Michaelis-Gutmann bodies. CD68 and CD163 were diffusely positive; PAS and iron stains highlighted the inclusions. MetaPath identified pathogens in 3/5 (60%) FFPE specimens (<i>Escherichia coli</i> in two, <i>Pseudomonas aeruginosa</i> in one). Antibiotic regimens were adjusted according to MetaPath results. After a median follow-up of 6 months (range 4-8) all patients remained symptom-free. MPL is frequently misdiagnosed as malignancy. MetaPath can reliably detect pathogens in archival tissue and guide targeted antimicrobial therapy, representing a valuable adjunct to conventional culture."
41664801,Ureter and bladder malakoplakia: a case report.,malakoplakia,"Ureter and bladder malakoplakia: a case report. Malakoplakia (MP) is a rare granulomatous inflammation that primarily affects the urinary system and has a characteristic histological appearance. We report a case of ureteral and bladder MP associated with renal failure that clinically mimicked urothelial carcinoma. A 60-year-old woman presented to our clinic with a one-year history of left flank pain. Computed tomography urography (CTU) and magnetic resonance (MR) imaging revealed asymmetric thickening of the left ureteral and bladder walls, along with polypoid, contrast-enhancing intraluminal masses. The diagnosis was confirmed by histopathological evaluation, which demonstrated the pathognomonic Michaelis-Gutmann bodies."
41473680,Bladder malakoplakia mimicking a bladder tumor: A case report and brief review of the literature.,malakoplakia,"Bladder malakoplakia mimicking a bladder tumor: A case report and brief review of the literature. Malakoplakia is a rare granulomatous inflammatory disease that primarily affects the genitourinary tract and is often associated with coliform infections. In rare cases, it can mimic tumors; however, to date, to the best of our knowledge, no case of malakoplakia due to <i>Morganella morganii</i> mimicking as a tumor has been reported. The present study describes the case of a patient with bladder malakoplakia caused by <i>Morganella morganii</i>, mimicking a bladder tumor. A 78-year-old male patient presented with complaints of dysuria, urinary frequency, urgency and incontinence. Upon a urinalysis, a marked number of pus cells were observed, and an abdominal ultrasound revealed bladder wall thickening. Flexible cystoscopy revealed a tight urethra and multiple sessile masses in the bladder. A urine culture revealed infection with <i>Morganella morganii</i>, and the patient was treated with antibiotics. Following transurethral resection of the masses, histopathological analysis revealed von Hansemann cells and Michaelis-Gutmann bodies, confirming the diagnosis of malakoplakia. Immunohistochemistry was negative for AE1/AE3 and S100, but positive for CD68. In addition, 10 cases in the literature were reviewed; all patients in these cases were elderly or adults, apart from one case. Of note, 6 cases had <i>Escherichia coli</i> infection, and 1 case also had <i>Pseudomonas aeruginosa</i> infection. A total of 6 cases underwent mass resection, while 4 cases were managed conservatively; one of these experienced recurrence. On the whole, the present study demonstrates that bladder malakoplakia can also arise from infection with <i>Morganella morganii</i> and mimic a tumor; thus, it should be considered in the differential diagnosis of bladder inflammation or masses."
41305870,<i>Escherichia coli</i>-associated renal malakoplakia in 2 dogs.,malakoplakia,"<i>Escherichia coli</i>-associated renal malakoplakia in 2 dogs. Malakoplakia is an uncommon granulomatous disease reported to affect mainly the urinary bladder and, less frequently, the urogenital tract, gastrointestinal tract, and lymph nodes. We describe cases of malakoplakia within the renal medulla of 2 dogs. Both dogs had a history of recurrent urinary tract infections with urine culture growth of <i>Escherichia coli</i>. Autopsy findings in dog 1 included ~60 tan-to-yellow, irregular nodules within the renal medulla, and tan-to-red, semi-firm nodules within the urinary bladder mucosa. Dog 2 had no gross changes within the kidneys but rather had ~20 red, semi-firm nodules along the surface of the apex of the urinary bladder. Histologically, the renal medulla of both dogs had sheets of foamy IBA1-positive macrophages with cytoplasmic granules and inclusions of intensely periodic acid-Schiff (PAS)-positive and occasional intracytoplasmic von Kossa- and Prussian blue-positive Michaelis-Gutmann bodies, consistent with malakoplakia. Fluorescence in situ hybridization and/or immunohistochemistry confirmed <i>E. coli</i> within macrophages. An underlying endocrinopathy could be a predisposing factor in the development of malakoplakia in older dogs."
40575231,Malakoplakia Masquerading As Urothelial Carcinoma: A Case Report and Review.,malakoplakia,"Malakoplakia Masquerading As Urothelial Carcinoma: A Case Report and Review. Malakoplakia is a rare inflammatory disorder primarily affecting the urinary tract, characterized by granulomatous reactions and Michaelis-Gutmann bodies. It typically presents with nonspecific urinary symptoms, mimicking malignancies radiologically and histologically, thereby complicating diagnosis. This case describes an uncommon presentation in an 18-year-old male with hematuria and dysuria, initially misdiagnosed as a urothelial neoplasm. Accurate diagnosis required extensive histopathological analysis, revealing classic malakoplakia features. Management included endoscopic resection and ureteral stenting. This emphasizes the diagnostic challenges posed by malakoplakia, the importance of careful multidisciplinary evaluation, detailed histopathology for correct identification, and the need for early intervention and follow-up to avoid renal complications."
40568336,Malakoplakia in kidney transplant recipients: Three case reports.,malakoplakia,"Malakoplakia in kidney transplant recipients: Three case reports. Malakoplakia is a rare chronic granulomatous disease associated with gram-negative infection, predominantly by <i>Escherichia coli.</i> It is induced by defective phagolysosomal activity of the macrophages. Malakoplakia commonly affects the urinary bladder but has been shown to affect any solid organ, including the native and transplanted kidney. However, isolated malakoplakia of the kidney allograft is rare. Transplant recipients with compromised immune systems are more likely to develop malakoplakia. We report three cases of kidney allograft parenchymal malakoplakia in kidney transplant recipients on immunosuppression that were successfully managed with good outcomes. We described the clinical characteristics of all the kidney allograft malakoplakia cases documented in the literature. A total of 55 cases of malakoplakia were reported in recipients with a history of kidney transplant. A total of 27 recipients had malakoplakia involving the allograft, and others had malakoplakia in other organs. The common presentations included allograft dysfunction, pyelonephritis, and allograft or systemic mass. Most recipients had favorable outcomes with appropriate management that included prolonged antibiotic therapy and adjustment of immunosuppression. We reviewed the published literature on all the cases of malakoplakia in kidney transplant recipients so far and summarized the etiology, management, and outcomes. This case series provides an overview of the etiology, presentation, pathogenesis, and management of malakoplakia in kidney transplant recipients."
40550101,Ureteral calculus complicated by bladder malakoplakia: A case report.,malakoplakia,"Ureteral calculus complicated by bladder malakoplakia: A case report. Bladder malakoplakia is a rare granulomatous inflammatory condition that mimics bladder tumors clinically and radiologically. This case is reported to highlight diagnostic challenges and prevent unnecessary radical surgery, emphasizing the critical role of histopathology in identifying this underrecognized entity. A female patient presented with recurrent urinary frequency persisting for >1 year. No hematuria, dysuria, or flank pain was reported. Diagnoses included bladder tumors, right renal calculus and upper ureteral calculus with hydronephrosis, renal cortical thinning, and hypertension. The postoperative pathology confirmed bladder malakoplakia. Histopathology identified characteristic Michaelis-Gutmann bodies. Transurethral resection of bladder tumor and laparoscopic ureterolithotomy. No adjuvant immunotherapy or long-term antibiotics administered postoperatively. Successful resection of bladder lesion. Resolution of lower urinary tract symptoms at 3-month follow-up. No recurrence on follow-up cystoscopy. Malakoplakia should be considered in the differential diagnosis of bladder masses, particularly when unresponsive to standard therapies. Histopathological identification of Michaelis-Gutmann bodies remains the diagnostic gold standard. Conservative resection (transurethral resection of bladder tumor) provides both diagnostic confirmation and therapeutic efficacy. Associated urinary tract abnormalities (e.g., obstructive calculi) may contribute to pathogenesis and require concurrent management."
40276710,Malignant masquerade: A case report of urachal malakoplakia disguised as urachal tumor.,malakoplakia,"Malignant masquerade: A case report of urachal malakoplakia disguised as urachal tumor. Malakoplakia is a rare inflammatory disease that predominantly affects the genitourinary tract, with the urinary bladder being the most commonly involved site. Although its exact pathogenesis remains unknown, it is well-established that the condition is associated with chronic urinary tract infections and immunosuppression. Its presentation often poses a significant diagnostic challenge, as it can closely mimic malignancy. We report a case of a 55-year-old female who presented with lower urinary tract symptom with a palpable hypogastric mass, imaging suspected urachal tumor. A partial cystectomy was performed, which histology confirmed the diagnostic of Urachal Malakoplakia."
39970836,Escherichia coli-associated granulomatous diseases in three cats.,malakoplakia,"Escherichia coli-associated granulomatous diseases in three cats. Granulomatous diseases associated with Escherichia coli infection are uncommon in domestic animals. In cats, malakoplakia and granulomatous ulcerative colitis are the only described forms. We investigated the clinical and pathological findings of E. coli-associated granulomatous diseases in three cats. In all cases the affected organs were infiltrated by many macrophages containing periodic acid-Schiff-positive intracytoplasmic granules. The macrophages immunolabelled for ionized calcium-binding adapter molecule 1 and E. coli. The first case involved the urinary bladder and was diagnosed as malakoplakia. The second case had small intestinal granulomatous enteritis and lymphadenitis of the mesenteric, celiac, colonic, mandibular and mediastinal lymph nodes. The third case had granulomatous enteritis, splenitis and lymphadenitis of the mesenteric, iliac, aortic, renal, hypogastric and sacral lymph nodes. Peyer's patches were predominantly affected in the small intestines of both the second and third cases. Although malakoplakia has been documented previously, the findings in the second and third cases suggest novel forms of granulomatous disease associated with E. coli in cats, with notable primary involvement of lymphoid tissue."
39640192,Recurrent bladder malakoplakia: A rare bladder lesion mimicking malignancy.,malakoplakia,"Recurrent bladder malakoplakia: A rare bladder lesion mimicking malignancy. Malakoplakia is a rare granulomatous disease that commonly involves the genitourinary tract with the urinary bladder being the most frequently affected site. It is characterized by histiocytes containing distinct basophilic calcified inclusions called Michaelis-Gutmann bodies. It is believed to result from abnormally functioning macrophages, with inclusions representing calcifications around incompletely digested bacteria. Although its pathogenesis remains unknown, it is well-documented that the condition is associated with chronic urinary tract infections and immunosuppression. Grossly, it can present as soft, yellow plaques, nodules, bladder mass, or even without any visible lesion. It poses a huge diagnostic challenge as it tends to mimic malignancy. Described here is an 86-year-old female with recurrent bladder malakoplakia who presented with foul-smelling urine, hematuria, and dysuria. The clinicopathological features of this rare bladder lesion are described along with a review of the literature. Early identification of malakoplakia's features by pathologists is essential for effective patient management. This condition should be considered in the differential diagnosis of bladder lesions, especially when <i>Escherichia coli</i> is present."
39398837,A Case Report of Malakoplakia of the Gallbladder: A Diagnostic Challenge and Pathological Surprise.,malakoplakia,"A Case Report of Malakoplakia of the Gallbladder: A Diagnostic Challenge and Pathological Surprise. Malakoplakia, a rare granulomatous inflammatory condition, typically manifests in the genitourinary system. Its occurrence in the gallbladder is exceptionally uncommon, posing significant diagnostic challenges. A 68-year-old male presented with recurrent epigastric pain, and a suspicious gallbladder mass was found on imaging. He then underwent surgery due to concerns for malignancy. Histopathology of the surgical specimen revealed malakoplakia, highlighting the diagnostic dilemma encountered in such instances."
39262618,Malakoplakia in a Transplanted Liver.,malakoplakia,"Malakoplakia in a Transplanted Liver. Malakoplakia is a rare acquired histiocytic disorder first described in the urinary bladder. There have been 8 cases reported involving the liver, and this is the first reported case of malakoplakia involving an adult transplanted liver. We report a 63-year-old man with a medical history of orthotopic liver transplantation who presented with fever, chills, and abdominal pain. Imaging found confluent microabscesses in the right lobe of the liver that persisted despite prolonged antibiotics. He was taken to the operating room for a segment 6 hepatectomy of the abscess. Histologically, the inflammatory process showed malakoplakia."
39111849,Successful treatment of intestinal malakoplakia in a French Bulldog.,malakoplakia,"Successful treatment of intestinal malakoplakia in a French Bulldog. Malakoplakia is a rare granulomatous inflammation that has mainly been reported in the urinary bladder of dogs. Only one case of canine colonic malakoplakia has been reported to date; however, successful treatment of this disease has not been reported. Here, we report a case of colonic malakoplakia in a 5-month-old spayed female French Bulldog. The dog was referred to a veterinarian because of chronic diarrhea and mucinous blood feces; empirical treatment did not improve its condition. Histologically, numerous macrophages containing periodic acid-Schiff-positive granules infiltrated the lamina propria of the large intestine. Furthermore, targetoid basophilic inclusion bodies (Michaelis-Gutmann bodies) were observed. Complete clinical remission was achieved after 8 months of enrofloxacin treatment and favorable progress after 2 months of medication."
38689482,Malakoplakia of the Endometrium: A Rare Unexpected Disease Raising Clinical Concern for Malignancy.,malakoplakia,"Malakoplakia of the Endometrium: A Rare Unexpected Disease Raising Clinical Concern for Malignancy. Malakoplakia is a rare disease that manifests as a histiocytic inflammatory process and most often occurs in the urinary bladder. It is caused by an impaired capacity of histiocytes to kill and digest bacteria. The typical histopathologic findings are sheets of histiocytes with granular eosinophilic cytoplasm and characteristic Michaelis-Gutmann bodies, spherical bodies with a targetoid appearance. Malakoplakia is even rarer in the gynecologic tract, and our literature search found only 21 published patients of malakoplakia involving the endometrium. Here we report a 60-year-old female patient who presented with recurrent pelvic infections and postmenopausal bleeding, which raised concern for an endometrial malignancy. Hysterectomy with salpingo-oophorectomy revealed malakoplakia involving the endometrium and also the right ovary. Michaelis-Gutmann bodies were visible on the intraoperative frozen section that was performed to rule out an endometrial malignancy. We summarize the clinicopathologic findings of the published patients of endometrial malakoplakia."
38655150,A case of extremely rare pathology: Renal malakoplakia.,malakoplakia,"A case of extremely rare pathology: Renal malakoplakia. Malakoplakia is a granulomatous tissue inflammation with a characteristic histological appearance, mainly affecting the urogenital system and morphologically reflecting a macrophage disease. If bladder involvement is the most common, renal involvement is very rare and may be responsible for a differential diagnosis problem with renal cell carcinoma. We present a clinical case of renal malacoplakia mimicking malignant renal cell carcinoma diagnosed after partial nephrectomy in a 58-year-old woman with no history of recurrent urinary infections."
38236373,Malakoplakia of urinary bladde: 3 cases reports and review.,malakoplakia,"Malakoplakia of urinary bladde: 3 cases reports and review. This study aims to explore the clinical diagnosis and treatment methods of bladder malakoplakia (MUB) to enhance the understanding of the disease. A retrospective analysis of the diagnosis and treatment processes of three cases of MUB treated in our department was conducted. Relevant literature from both domestic and international sources was reviewed to provide a comprehensive analysis. All three patients underwent transurethral resection of bladder lesions combined with antibiotic therapy, and two of them received transurethral instillation of gemcitabine. There were two cases with two recurrences each, and one case with four recurrences, with the latter also concurrently presenting with unilateral ureteral malakoplakia. Postoperative pathology confirmed MUB in all three cases. Close follow-up revealed no significant recurrence in the patients. The effective diagnosis rate is increased by conducting multiple deep, repetitive, and randomly selected live tissue examinations. The definitive diagnosis of MUB relies on pathological histological examination. Treatment involving a combination of antibiotics and transurethral resection of bladder lesions proves to be effective. Exploring the use of bladder instillation of gemcitabine widens the spectrum of MUB treatment methods."
37847659,Multiple bladder malacoplakia.,differential_diagnosis,Multiple bladder malacoplakia. 
